"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-01","2021","01","01","","3.2","","-5.0","","-0.9","","18.9","","0.0","","","","","","0.0","","8","","29","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-02","2021","01","02","","7.4","","-7.6","","-0.1","","18.1","","0.0","","","","","","0.4","","8","","25","","72",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-03","2021","01","03","","4.8","","-6.5","","-0.9","","18.9","","0.0","","","","","","0.0","","6","","25","","61",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-04","2021","01","04","","2.1","","-7.5","","-2.7","","20.7","","0.0","","","","","","0.0","","5","","28","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-05","2021","01","05","","4.9","","-5.5","","-0.3","","18.3","","0.0","","","","","","0.0","","5","","35","","47",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-06","2021","01","06","","3.2","","-7.6","","-2.2","","20.2","","0.0","","","","","","0.0","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-07","2021","01","07","","3.7","","-10.1","","-3.2","","21.2","","0.0","","","","","","0.0","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-08","2021","01","08","","-1.0","","-16.4","","-8.7","","26.7","","0.0","","","","","","0.0","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-09","2021","01","09","","-0.6","","-14.4","","-7.5","","25.5","","0.0","","","","","","0.0","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-10","2021","01","10","","6.7","","-15.2","","-4.2","","22.2","","0.0","","","","","","0.0","","5","","28","","62",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-11","2021","01","11","","7.7","","-2.6","","2.5","","15.5","","0.0","","","","","","0.0","","5","","26","","64",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-12","2021","01","12","","7.5","","-2.5","","2.5","","15.5","","0.0","","","","","","0.0","","5","","27","","66",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-13","2021","01","13","","6.9","","-2.7","","2.1","","15.9","","0.0","","","","","","0.0","","5","","34","","83",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-14","2021","01","14","","1.4","","-7.3","","-3.0","","21.0","","0.0","","","","","","0.0","","5","","28","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-15","2021","01","15","","7.5","","-7.0","","0.3","","17.7","","0.0","","","","","","0.0","","5","","28","","49",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-16","2021","01","16","","4.6","","-1.7","","1.5","","16.5","","0.0","","","","","","0.0","","4","","28","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-17","2021","01","17","","6.3","","-3.5","","1.4","","16.6","","0.0","","","","","","0.0","","4","","29","","49",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-18","2021","01","18","","2.3","","-8.3","","-3.0","","21.0","","0.0","","","","","","0.0","","3","","33","","49",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-19","2021","01","19","","9.4","","-12.6","","-1.6","","19.6","","0.0","","","","","","0.0","","3","","31","","74",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-20","2021","01","20","","3.9","","-11.2","","-3.7","","21.7","","0.0","","","","","","0.0","","1","","30","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-21","2021","01","21","","-2.0","","-12.0","","-7.0","","25.0","","0.0","","","","","","0.0","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-22","2021","01","22","","-3.6","","-13.5","","-8.5","","26.5","","0.0","","","","","","0.0","","2","","36","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-23","2021","01","23","","-2.4","","-15.9","","-9.2","","27.2","","0.0","","","","","","0.0","","1","","5","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-24","2021","01","24","","-13.2","","-16.5","","-14.9","","32.9","","0.0","","","","","","","M","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-25","2021","01","25","","-14.2","","-17.8","","-16.0","","34.0","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-26","2021","01","26","","-12.9","","-17.5","","-15.2","","33.2","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-27","2021","01","27","","-11.9","","-14.5","","-13.2","","31.2","","0.0","","","","","","0.3","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-28","2021","01","28","","-13.5","","-15.9","","-14.7","","32.7","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-29","2021","01","29","","-6.3","","-16.7","","-11.5","","29.5","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-30","2021","01","30","","0.5","","-19.2","","-9.4","","27.4","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-01-31","2021","01","31","","4.8","","-13.1","","-4.1","","22.1","","0.0","","","","","","0.0","","2","","18","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-01","2021","02","01","","9.7","","-10.4","","-0.4","","18.4","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-02","2021","02","02","","-8.3","","-13.6","","-10.9","","28.9","","0.0","","","","","","2.9","","0","","35","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-03","2021","02","03","","-12.0","","-20.3","","-16.2","","34.2","","0.0","","","","","","3.7","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-04","2021","02","04","","-0.9","","-21.8","","-11.4","","29.4","","0.0","","","","","","0.0","","7","","1","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-05","2021","02","05","","-6.3","","-22.0","","-14.2","","32.2","","0.0","","","","","","2.0","","10","","5","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-06","2021","02","06","","-20.1","","-24.3","","-22.2","","40.2","","0.0","","","","","","2.3","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-07","2021","02","07","","-23.8","","-30.7","","-27.2","","45.2","","0.0","","","","","","0.1","","12","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-08","2021","02","08","","-24.0","","-31.8","","-27.9","","45.9","","0.0","","","","","","0.0","","12","","35","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-09","2021","02","09","","-24.7","","-31.4","","-28.0","","46.0","","0.0","","","","","","0.0","","12","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-10","2021","02","10","","-26.3","","-32.1","","-29.2","","47.2","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-11","2021","02","11","","-25.6","","-33.4","","-29.5","","47.5","","0.0","","","","","","0.0","","12","","35","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-12","2021","02","12","","-17.9","","-29.8","","-23.8","","41.8","","0.0","","","","","","0.0","","11","","35","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-13","2021","02","13","","-18.9","","-27.2","","-23.0","","41.0","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-14","2021","02","14","","-21.4","","-28.3","","-24.8","","42.8","","0.0","","","","","","0.0","","11","","17","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-15","2021","02","15","","-15.0","","-25.4","","-20.2","","38.2","","0.0","","","","","","0.0","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-16","2021","02","16","","-3.9","","-23.9","","-13.9","","31.9","","0.0","","","","","","1.3","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-17","2021","02","17","","-6.5","","-13.7","","-10.1","","28.1","","0.0","","","","","","0.1","","12","","34","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-18","2021","02","18","","-3.5","","-17.8","","-10.6","","28.6","","0.0","","","","","","0.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-19","2021","02","19","","2.6","","-5.9","","-1.7","","19.7","","0.0","","","","","","0.0","","11","","29","","54",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-20","2021","02","20","","2.2","","-6.9","","-2.3","","20.3","","0.0","","","","","","0.0","","11","","29","","59",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-21","2021","02","21","","8.3","","-2.6","","2.8","","15.2","","0.0","","","","","","0.0","","10","","26","","71",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-22","2021","02","22","","7.3","","-1.4","","3.0","","15.0","","0.0","","","","","","1.6","","10","","26","","63",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-23","2021","02","23","","1.4","","-6.6","","-2.6","","20.6","","0.0","","","","","","0.7","","10","","33","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-24","2021","02","24","","0.9","","-11.3","","-5.2","","23.2","","0.0","","","","","","0.0","","8","","28","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-25","2021","02","25","","3.3","","-4.1","","-0.4","","18.4","","0.0","","","","","","0.0","","8","","27","","66",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-26","2021","02","26","","0.1","","-13.5","","-6.7","","24.7","","0.0","","","","","","1.8","","7","","1","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-27","2021","02","27","","-6.0","","-15.9","","-10.9","","28.9","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-02-28","2021","02","28","","6.0","","-7.9","","-0.9","","18.9","","0.0","","","","","","0.0","","7","","27","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-01","2021","03","01","","9.2","","0.4","","4.8","","13.2","","0.0","","","","","","0.0","","6","","27","","57",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-02","2021","03","02","","6.2","","-6.3","","-0.1","","18.1","","0.0","","","","","","0.0","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-03","2021","03","03","","9.0","","-4.9","","2.0","","16.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-04","2021","03","04","","11.0","","-7.4","","1.8","","16.2","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-05","2021","03","05","","12.8","","-3.5","","4.6","","13.4","","0.0","","","","","","0.0","","0","","17","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-06","2021","03","06","","5.8","","-3.8","","1.0","","17.0","","0.0","","","","","","0.0","","0","","35","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-07","2021","03","07","","7.9","","-6.6","","0.6","","17.4","","0.0","","","","","","0.0","","","","28","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-08","2021","03","08","","5.2","","-4.9","","0.2","","17.8","","0.0","","","","","","0.0","","0","","29","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-09","2021","03","09","","6.0","","-6.2","","-0.1","","18.1","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-10","2021","03","10","","-1.1","","-11.3","","-6.2","","24.2","","0.0","","","","","","0.0","","","","36","","59",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-11","2021","03","11","","4.9","","-13.3","","-4.2","","22.2","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-12","2021","03","12","","13.9","","-3.1","","5.4","","12.6","","0.0","","","","","","0.0","","0","","26","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-13","2021","03","13","","14.2","","-3.3","","5.5","","12.5","","0.0","","","","","","0.0","","","","16","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-14","2021","03","14","","18.6","","-2.0","","8.3","","9.7","","0.0","","","","","","0.0","","0","","20","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2021-03-15","2021","03","15","","7.0","","-3.3","","1.9","","16.1","","0.0","","","","","","0.0","","0","","36","","63",""
